"","district","name","party","date_assumed_office","counties_represented","committees","twitter","instagram","sentiment_avg"
"1",1,"Heather Hadwick","Republican","2-Dec-24","Alpine, Amador, El Dorado, Lassen, Modoc, Nevada, Placer, Plumas, Shasta, Sierra, Siskiyou","Agriculture - Member, Budget (First Extraordinary) - Member, Budget - Member, Business and Professions - Member, Emergency Management - Vice Chair, Insurance - Member, Subcommittee No. 3 on Education Finance - Member, Select Committee on Native American Affairs - Member, Joint Legislative Committee on Emergency Management - Member","hhadwickAD1",NA,0.0879662004662005
"2",2,"Chris Rogers","Democrat","2-Dec-24","Del Norte, Humboldt, Mendocino, Sonoma, Trinity","Budget - Member, Communications and Conveyance - Member, Transportation - Member, Utilities and Energy - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Select Committee on Climate Innovation and Infrastructure - Chair, Select Committee on Native American Affairs - Member, Joint Committee on Fisheries and Aquaculture - Member","AsmChrisRogers",NA,0
"3",3,"James Gallagher","Republican","1-Dec-14","Butte, Glenn, Placer, Sutter, Tehama, Yuba","Joint Committee on Rules - Member","j_gallagherad3",NA,NA
"4",4,"Cecilia Aguiar-Curry","Democrat","2016","Colusa, Lake, Napa, Sonoma, Yolo","Agriculture - Member, Health - Member, Transportation - Member, Select Committee on Child Care Costs - Co-Chair, Joint Committee on Rules - Member","AsmAguiarCurry",NA,NA
"5",5,"Joe Patterson","Republican","5-Dec-22","El Dorado, Placer","Budget (First Extraordinary) - Member, Budget - Member, Health - Member, Housing and Community Development - Vice Chair, Privacy and Consumer Protection - Member, Utilities and Energy - Vice Chair, Subcommittee No. 1 on Health - Member, Joint Legislative Budget - Member","Patterdude",NA,NA
"6",6,"Maggy Krell","Democrat","2-Dec-24","Sacramento","Banking and Finance - Member, Business and Professions - Member, Health - Member, Insurance - Member, Rules (First Extraordinary) - Member, Rules - Member, Joint Committee on Rules - Member","AsmMaggyKrell",NA,NA
"7",7,"Josh Hoover","Republican","5-Dec-22","Sacramento","Communications and Conveyance - Vice Chair, Education - Vice Chair, Local Government - Member, Natural Resources - Member, Transportation - Member, Joint Legislative Audit - Member","joshua_hoover",NA,0
"8",8,"David Tangipa","Republican","2-Dec-24","Calaveras, Fresno, Inyo, Madera, Mariposa, Mono, Tuolumne","Appropriations - Member, Budget - Member, Elections - Member, Higher Education - Member, Housing and Community Development - Member, Human Services - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 2 on Human Services - Member","AsmTangipa",NA,0.133333333333333
"9",9,"Heath Flora","Republican","5-Dec-22","Amador, Calaveras, Sacramento, San Joaquin, Stanislaus","Budget (First Extraordinary) - Vice Chair, Budget - Vice Chair, Business and Professions - Vice Chair, Health - Member, Labor and Employment - Vice Chair, Natural Resources - Member, Rules (First Extraordinary) - Member, Rules - Member, Subcommittee No. 1 on Health - Member, Subcommittee No. 2 on Human Services - Member, Subcommittee No. 3 on Education Finance - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Subcommittee No. 5 on State Administration - Member, Subcommittee No. 6 on Public Safety - Member, Joint Committee on Rules - Member, Joint Legislative Budget - Member, Joint Legislative Committee on Climate Change Policies - Member","HeathFloraCA",NA,NA
"10",10,"Stephanie Nguyen","Democrat","5-Dec-22","Sacramento","Business and Professions - Member, Governmental Organization - Member, Insurance - Member, Public Employment and Retirement - Member, Public Safety - Member, Select Committee on Child Care Costs - Co-Chair","AsmNguyen",NA,NA
"11",11,"Lori Wilson","Democrat","6-Apr-22","Contra Costa, Sacramento, Solano","Budget - Member, Housing and Community Development - Member, Local Government - Member, Privacy and Consumer Protection - Member, Transportation - Chair, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Co-Chair","AsmLoriDWilson",NA,0.103448275862069
"12",12,"Damon Connolly","Democrat","5-Dec-22","Marin, Sonoma","Agriculture - Member, Budget (First Extraordinary) - Member, Budget - Member, Environmental Safety and Toxic Materials - Chair, Judiciary - Member, Natural Resources - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Select Committee on Wildfire Prevention - Chair, Joint Committee on Fairs Allocation and Classification - Member","AsmConnolly",NA,NA
"13",13,"Rhodesia Ransom","Democrat","2-Dec-24","San Joaquin","Agriculture - Member, Emergency Management - Chair, Local Government - Member, Transportation - Member, Joint Committee on Fairs Allocation and Classification - Member, Joint Legislative Audit - Member, Joint Legislative Committee on Emergency Management - Vice Chair","AsmRansom",NA,NA
"14",14,"Buffy Wicks","Democrat","5-Dec-22","Alameda, Contra Costa","Appropriations - Chair, Housing and Community Development - Member, Natural Resources - Member, Privacy and Consumer Protection - Member, Select Committee on Permitting Reform - Chair","BuffyWicks",NA,NA
"15",15,"Anamarie Avila Farias","Democrat","2-Dec-24","Contra Costa","Aging and Long-Term Care - Member, Housing and Community Development - Member, Insurance - Member, Military and Veterans Affairs - Member, Water, Parks, and Wildlife - Member, Select Committee on Housing Finance and Affordability - Co-Chair","anamariead15",NA,NA
"16",16,"Rebecca Bauer-Kahan","Democrat","2018","Alameda, Contra Costa","Business and Professions - Member, Environmental Safety and Toxic Materials - Member, Judiciary - Member, Privacy and Consumer Protection - Chair, Select Committee on Reproductive Health - Chair, Joint Legislative Committee on Climate Change Policies - Member","BauerKahan",NA,NA
