district,name,party,date_assumed_office,counties_represented,committees,twitter
01,Heather Hadwick,Republican,"December 2, 2024","Alpine, Amador, El Dorado, Lassen, Modoc, Nevada, Placer, Plumas, Shasta, Sierra, Siskiyou","Agriculture - Member, Budget (First Extraordinary) - Member, Budget - Member, Business and Professions - Member, Emergency Management - Vice Chair, Insurance - Member, Subcommittee No. 3 on Education Finance - Member, Select Committee on CalFresh Enrollment and Nutrition - Member, Select Committee on California's Mental Health Crisis - Member, Select Committee on Child Care Costs - Member, Select Committee on Cybersecurity - Member, Select Committee on Effective Postsecondary Career Technical Education and Workforce Development Programs - Member, Select Committee on Housing Finance and Affordability - Member, Select Committee on Master Plan for Higher Education in California - Member, Select Committee on Native American Affairs - Member, Select Committee on the Nonprofit Sector - Member, Joint Legislative Committee on Emergency Management - Member",NA
02,Chris Rogers,Democrat,"December 2, 2024","Del Norte, Humboldt, Mendocino, Sonoma, Trinity","Budget - Member, Communications and Conveyance - Member, Transportation - Member, Utilities and Energy - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Select Committee on Alternative Protein Innovation - Member, Select Committee on Climate Innovation and Infrastructure - Chair, Select Committee on Cybersecurity - Member, Select Committee on Electric Vehicles and Charging Infrastructure - Member, Select Committee on Native American Affairs - Member, Select Committee on Ports and Goods Movement - Member, Select Committee on Sea Level Rise and the California Economy - Member, Select Committee on Wildfire Prevention - Member, Joint Committee on Fisheries and Aquaculture - Member",NA
03,James Gallagher,Republican,"December 1, 2014","Butte, Glenn, Placer, Sutter, Tehama, Yuba",Joint Committee on Rules - Member,@j_gallagherad3
04,Cecilia Aguiar-Curry,Democrat,2016,"Colusa, Lake, Napa, Sonoma, Yolo","Agriculture - Member, Health - Member, Transportation - Member, Select Committee on Alternative Protein Innovation - Member, Select Committee on CalFresh Enrollment and Nutrition - Member, Select Committee on Child Care Costs - Co-Chair, Select Committee on Effective Postsecondary Career Technical Education and Workforce Development Programs - Member, Select Committee on Latina Inequities - Member, Select Committee on Ports and Goods Movement - Member, Select Committee on Reproductive Health - Member, Select Committee on Wildfire Prevention - Member, Select Committee on Youth Mental Health and Treatment Accessibility - Member, Joint Committee on Rules - Member",@AsmAguiarCurry
05,Joe Patterson,Republican,"December 5, 2022","El Dorado, Placer","Budget (First Extraordinary) - Member, Budget - Member, Health - Member, Housing and Community Development - Vice Chair, Privacy and Consumer Protection - Member, Utilities and Energy - Vice Chair, Subcommittee No. 1 on Health - Member, Select Committee on Biotechnology and Medical Technology - Member, Select Committee on California's Mental Health Crisis - Member, Select Committee on Domestic Violence - Member, Select Committee on Downtown Recovery - Member, Select Committee on Housing Finance and Affordability - Member, Select Committee on Regulatory Authority - Member, Select Committee on Social Housing - Member, Select Committee on Wildfire Prevention - Member, Joint Legislative Budget - Member",NA
06,Maggy Krell,Democrat,"December 2, 2024",Sacramento,"Banking and Finance - Member, Business and Professions - Member, Health - Member, Insurance - Member, Rules (First Extraordinary) - Member, Rules - Member, Select Committee on Downtown Recovery - Member, Joint Committee on Rules - Member",NA
07,Josh Hoover,Republican,"December 5, 2022",Sacramento,"Communications and Conveyance - Vice Chair, Education - Vice Chair, Local Government - Member, Natural Resources - Member, Transportation - Member, Select Committee on Serving Students with Disabilities - Member, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Member, Select Committee on Youth Mental Health and Treatment Accessibility - Member, Joint Legislative Audit - Member",NA
08,David Tangipa,Republican,"December 2, 2024","Calaveras, Fresno, Inyo, Madera, Mariposa, Mono, Tuolumne","Appropriations - Member, Budget - Member, Elections - Member, Higher Education - Member, Housing and Community Development - Member, Human Services - Member, Water, Parks, and Wildlife - Member, Subcommittee No. 2 on Human Services - Member",NA
09,Heath Flora,Republican,"December 5, 2022","Amador, Calaveras, Sacramento, San Joaquin, Stanislaus","Budget (First Extraordinary) - Vice Chair, Budget - Vice Chair, Business and Professions - Vice Chair, Health - Member, Labor and Employment - Vice Chair, Natural Resources - Member, Rules (First Extraordinary) - Member, Rules - Member, Subcommittee No. 1 on Health - Member, Subcommittee No. 2 on Human Services - Member, Subcommittee No. 3 on Education Finance - Member, Subcommittee No. 4 on Climate Crisis, Resources, Energy, and Transportation - Member, Subcommittee No. 5 on State Administration - Member, Subcommittee No. 6 on Public Safety - Member, Joint Committee on Rules - Member, Joint Legislative Budget - Member, Joint Legislative Committee on Climate Change Policies - Member",@HeathFloraCA
10,Stephanie Nguyen,Democrat,"December 5, 2022",Sacramento,"Business and Professions - Member, Governmental Organization - Member, Insurance - Member, Public Employment and Retirement - Member, Public Safety - Member, Select Committee on Biotechnology and Medical Technology - Member, Select Committee on Child Care Costs - Co-Chair, Select Committee on Cybersecurity - Member, Select Committee on the Nonprofit Sector - Member, Select Committee on Ports and Goods Movement - Member, Select Committee on the Transportation Costs and Impact of the Low Carbon Fuel Standard - Member, Select Committee on Youth Mental Health and Treatment Accessibility - Member",NA
