members,committees,district,party,date_assumed_office,twitter
Melissa Hurtado,"Agriculture, Banking and Financial Institutions, Energy, Utilities and Communications, Environmental Quality, Governmental Organization, Natural Resources and Water",16,Democrat,"December 5, 2022",@Senator_Hurtado
Marie Alvarado-Gil,Agriculture,4,Republican,"December 5, 2022",@AlvaradoGilSD4
Dave Cortese,"Agriculture, Education, Housing, Labor, Public Employment and Retirement, Transportation",15,Democrat,"December 7, 2020",@SenDaveCortese
Jerry McNerney,"Agriculture, Budget and Fiscal Review, Energy, Utilities and Communications, Military and Veterans Affairs, Revenue and Taxation",5,Democrat,"December 2, 2024",@SenMcNerney
Steve Padilla,"Agriculture, Environmental Quality, Governmental Organization, Health, Housing, Insurance",18,Democrat,"December 5, 2022",@SenStevePadilla
Anna Caballero,"Appropriations, Energy, Utilities and Communications, Housing, Insurance, Judiciary, Public Safety",14,Democrat,"December 5, 2022",@CASenCaballero
Kelly Seyarto,"Appropriations, Budget and Fiscal Review, Housing, Local Government, Natural Resources and Water, Public Safety, Transportation",32,Republican,"December 5, 2022",@SenatorSeyarto
Christopher Cabaldon,"Appropriations, Budget and Fiscal Review, Education, Housing, Local Government",3,Democrat,"December 2, 2024",@sencabaldon
Megan Dahle,"Appropriations, Energy, Utilities and Communications, Environmental Quality, Governmental Organization, Transportation",1,Republican,"December 2, 2024",@SenMeganDahle
Tim Grayson,"Appropriations, Banking and Financial Institutions, Business, Professions and Economic Development, Housing, Revenue and Taxation, Transportation",9,Democrat,"December 2, 2024",@TimGraysonCA
Laura Richardson,"Appropriations, Banking and Financial Institutions, Budget and Fiscal Review, Governmental Organization, Health, Transportation",35,Democrat,"December 2, 2024",NA
Aisha Wahab,"Appropriations, Budget and Fiscal Review, Energy, Utilities and Communications, Governmental Organization, Housing, Insurance, Judiciary",10,Democrat,"December 5, 2022",@SenAishaWahab
Roger Niello,"Banking and Financial Institutions, Budget and Fiscal Review, Business, Professions and Economic Development, Insurance, Judiciary",6,Republican,"December 5, 2022",@SenRogerNiello
Sabrina Cervantes,"Banking and Financial Institutions, Elections and Constitutional Amendments, Governmental Organization, Transportation",31,Democrat,"December 2, 2024",@SenCervantes
Monique Limón,"Banking and Financial Institutions, Elections and Constitutional Amendments, Energy, Utilities and Communications, Health, Human Services, Natural Resources and Water, Transportation",21,Democrat,"December 2, 2024",@MoniqueLimonCA
Tony Strickland,"Banking and Financial Institutions, Business, Professions and Economic Development, Energy, Utilities and Communications, Labor, Public Employment and Retirement, Transportation",36,Republican,"March 11, 2025",@StricklandforCA
Scott Wiener,"Budget and Fiscal Review, Health, Judiciary, Local Government, Public Safety",11,Democrat,2016,@Scott_Wiener
