bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1893344,1535026,2025-04-02,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",17,0,0,0,17
1893344,1577277,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1893346,1558358,2025-04-24,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,3,0,2,12
1893346,1577924,2025-05-23,Assembly,"Do pass",11,3,0,1,15
1893348,1528312,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",18,0,0,0,18
1893348,1577333,2025-05-23,Assembly,"Do pass as amended",11,0,0,4,15
1893349,1526958,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Natural Resources] with recommendation: To Consent Calendar",13,0,0,0,13
1893349,1538900,2025-04-07,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",14,0,0,0,14
1893349,1555969,2025-04-23,Assembly,"Do pass. To Consent Calendar",15,0,0,0,15
1893349,1564261,2025-05-01,Assembly,"AB 14 Hart Consent Calendar Second Day Regular Session",76,0,0,3,79
1893350,1505308,2025-03-04,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1893350,1577430,2025-05-23,Assembly,"Do pass as amended",11,1,0,3,15
1893351,1542868,2025-04-09,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1893351,1565317,2025-05-05,Assembly,"AB 16 Alanis Assembly Third Reading",75,0,0,4,79
1893352,1528316,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1893352,1542731,2025-04-09,Assembly,"Do pass. To Consent Calendar",14,0,0,1,15
1893352,1557486,2025-04-24,Assembly,"AB 17 Alanis Consent Calendar Second Day Regular Session",75,0,0,4,79
1893355,1535143,2025-04-01,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",9,0,0,6,15
1893355,1540876,2025-04-08,Assembly,"Do pass",9,0,0,3,12
1893355,1569755,2025-05-12,Assembly,"AB 2 Lowenthal Assembly Third Reading",66,0,0,13,79
