members,committees,district,party,date_assumed_office,twitter,sentiment_avg
Melissa Hurtado,"Agriculture, Banking and Financial Institutions, Energy, Utilities and Communications, Environmental Quality, Governmental Organization, Natural Resources and Water",16,Democrat,"December 5, 2022",Senator_Hurtado,0.418854838709677
Marie Alvarado-Gil,Agriculture,4,Republican,"December 5, 2022",AlvaradoGilSD4,0.224540983606557
Dave Cortese,"Agriculture, Education, Housing, Labor, Public Employment and Retirement, Transportation",15,Democrat,"December 7, 2020",SenDaveCortese,0.580690909090909
Jerry McNerney,"Agriculture, Budget and Fiscal Review, Energy, Utilities and Communications, Military and Veterans Affairs, Revenue and Taxation",5,Democrat,"December 2, 2024",SenMcNerney,0.473372093023256
Steve Padilla,"Agriculture, Environmental Quality, Governmental Organization, Health, Housing, Insurance",18,Democrat,"December 5, 2022",SenStevePadilla,0.484682926829268
Anna Caballero,"Appropriations, Energy, Utilities and Communications, Housing, Insurance, Judiciary, Public Safety",14,Democrat,"December 5, 2022",CASenCaballero,0.606987654320988
Kelly Seyarto,"Appropriations, Budget and Fiscal Review, Housing, Local Government, Natural Resources and Water, Public Safety, Transportation",32,Republican,"December 5, 2022",SenatorSeyarto,0.654241935483871
Christopher Cabaldon,"Appropriations, Budget and Fiscal Review, Education, Housing, Local Government",3,Democrat,"December 2, 2024",sencabaldon,0.407389830508475
Megan Dahle,"Appropriations, Energy, Utilities and Communications, Environmental Quality, Governmental Organization, Transportation",1,Republican,"December 2, 2024",SenMeganDahle,0.259733333333333
Tim Grayson,"Appropriations, Banking and Financial Institutions, Business, Professions and Economic Development, Housing, Revenue and Taxation, Transportation",9,Democrat,"December 2, 2024",TimGraysonCA,0.321507936507937
Laura Richardson,"Appropriations, Banking and Financial Institutions, Budget and Fiscal Review, Governmental Organization, Health, Transportation",35,Democrat,"December 2, 2024",,
Aisha Wahab,"Appropriations, Budget and Fiscal Review, Energy, Utilities and Communications, Governmental Organization, Housing, Insurance, Judiciary",10,Democrat,"December 5, 2022",SenAishaWahab,0.385821428571429
Roger Niello,"Banking and Financial Institutions, Budget and Fiscal Review, Business, Professions and Economic Development, Insurance, Judiciary",6,Republican,"December 5, 2022",SenRogerNiello,0.363146341463415
Sabrina Cervantes,"Banking and Financial Institutions, Elections and Constitutional Amendments, Governmental Organization, Transportation",31,Democrat,"December 2, 2024",SenCervantes,0.398595238095238
Monique Limón,"Banking and Financial Institutions, Elections and Constitutional Amendments, Energy, Utilities and Communications, Health, Human Services, Natural Resources and Water, Transportation",21,Democrat,"December 2, 2024",MoniqueLimonCA,0.535803278688525
Tony Strickland,"Banking and Financial Institutions, Business, Professions and Economic Development, Energy, Utilities and Communications, Labor, Public Employment and Retirement, Transportation",36,Republican,"March 11, 2025",StricklandforCA,0.54725
