people_name_sponsors,bipartisan_rate1,bipartisan_rate2,weighted_bipartisan_rate2,bipartisan_rate3,weighted_bipartisan_rate3,bills_sponsored,introduced_num,passed_num,failed_num,vetoed_num,engrossed_num,enrolled_num,total_bills
Chris Holden,0.19129589110162204,0.10575303326638927,0.1385984781807997,0.07645494555646531,0.10604010385801026,441,52,202,88,41,58,0,26297
Reginald Jones-Sawyer,0.18466758740592412,0.08649381854250009,0.12399512724056334,0.06727412016138151,0.09428992073010026,601,78,257,110,50,105,1,26297
Brian Maienschein,0.4593393666393785,0.28793302694275735,0.3010999943020539,0.20836805904936834,0.2173768643000866,514,66,288,75,37,48,0,26297
Anthony Rendon,0.45259625671996806,0.108631442394329,0.2856738784573836,0.10770667164065878,0.228592110701431,234,32,121,35,20,26,0,26297
Philip Ting,0.1694910570262465,0.07442968891342958,0.11176911134816819,0.057550668083906846,0.08501793609834667,939,103,412,196,58,170,0,26297
Kevin McCarty,0.2553992712117882,0.12050765565223887,0.18512204652579348,0.09690064078112906,0.13113126928926064,698,74,301,167,56,99,1,22102
Miguel Santiago,0.22813343519225873,0.10522727272727272,0.16634602325778797,0.08247129820686148,0.11731748672067227,559,73,251,100,53,81,1,22102
Jim Wood,0.3574938526966264,0.19663621791355312,0.2702202033837506,0.15255413049727096,0.18520687132656982,510,42,242,77,50,98,1,22102
Eloise Reyes,0.23831835592812262,0.07941995937395155,0.14142012973704032,0.06782635542265898,0.10798713679866839,365,54,160,34,50,67,0,17725
Ash Kalra,0.15869158681561343,0.04364378290498294,0.11180462475883698,0.04336578355748387,0.08154990849823018,575,74,277,73,66,85,0,17725
Scott Wiener,0.2700453715358742,0.11801280926930935,0.1789015909700584,0.0896019855648578,0.13758774210721925,797,61,409,90,70,167,0,17725
Heath Flora,0.4896325794270002,0.3181494289973706,0.22444889952546965,0.24564951522271247,0.17657946071036398,363,80,106,121,12,44,0,17725
Marc Berman,0.24178220060441621,0.0981172876271149,0.16506988286678578,0.08483481361600685,0.11895347237962074,444,47,263,39,27,68,0,17725
Laura Friedman,0.21872395047037163,0.08296323760131195,0.13400769793202255,0.0669005494323901,0.10522438656985497,514,76,257,49,42,89,1,17725
Sabrina Cervantes,0.25046056232535363,0.09677354305303489,0.18715790914066777,0.08426502571965466,0.1299736149502122,394,46,195,64,35,54,0,17725
Josh Newman,0.3737458691201332,0.21277748043938122,0.21129928383923338,0.15801701673563143,0.16186868148754335,313,30,155,32,24,72,0,13145
Joaquin Arambula,0.37151226909291424,0.2051326164874552,0.27308905431486075,0.15736156159394496,0.19371226328284336,375,56,152,54,36,77,0,22102
Wendy Carrillo,0.23448641512702892,0.07974200330470402,0.1610912308685399,0.06745389545188238,0.117766435404134,504,65,235,59,54,90,1,17725
Luz Rivas,0.27421340990213794,0.0732166878968852,0.18837016767497078,0.07483271130020425,0.1298155764132387,313,44,156,29,35,49,0,17725
Tasha Boerner Horvath,0.3391304347826087,0.1565217391304348,0.22608695652173913,0.12004807230557339,0.17229374054513585,115,18,51,12,13,21,0,4536
Robert Rivas,0.2742739477218735,0.08070737159243378,0.17559914034798813,0.07634341267169613,0.1315448739381195,338,37,152,52,29,67,1,13243
Buffy Wicks,0.17504146660846792,0.04725835394539017,0.10187545467772444,0.04939551679828184,0.08147693789591849,432,60,187,77,41,67,0,13243
Maria Durazo,0.13030398548921368,0.02739234210608035,0.05910108163040459,0.024229164475489774,0.052314842636043704,279,39,132,24,32,52,0,13243
Lena Gonzalez,0.20691049762616492,0.050067405193130535,0.14369028779086807,0.04811028321127929,0.10668385768930516,270,41,130,28,26,45,0,13243
Alex Lee,0.15486778846153848,0.05811298076923077,0.08143028846153846,0.04935445614277953,0.0671718295362482,258,33,126,39,19,41,0,8663
Chris Ward,0.17222222222222222,0.04777777777777778,0.09888888888888889,0.04614960759056029,0.07771173671043576,165,15,100,18,11,20,1,8663
Josh Becker,0.18190367626104303,0.08406953548019379,0.13573667711598747,0.05357727976794932,0.10396233625199887,266,15,141,28,27,55,0,8663
Dave Cortese,0.2672905525846702,0.1035650623885918,0.17771836007130126,0.08183236660617399,0.13009168780603222,212,16,109,25,14,48,0,8663
John Laird,0.20851236790152133,0.10109162698873533,0.11659505283939148,0.0825268396800451,0.09874865634842142,188,6,132,13,8,29,0,8663
Isaac Bryan,0.14915458937198067,0.07125603864734299,0.08544685990338165,0.05059533289252272,0.07968305315169305,210,20,107,20,19,44,0,8663
Mia Bonta,0.1656966792194454,0.04867054661645555,0.10852447791852105,0.039677266421756494,0.08182347058515978,196,25,90,19,28,34,0,8663
Mike Fong,0.11233108108108109,0.013513513513513514,0.05827702702702703,0.01941198352701319,0.043693610175976005,90,9,51,6,11,13,0,8663
Matt Haney,0.16,0.06888888888888889,0.11444444444444446,0.04726216251834032,0.08893340644390987,195,13,108,17,25,32,0,8663
Tina McKinnor,0.16464891041162227,0.11380145278450363,0.12651331719128328,0.06137452026623636,0.10836956956616017,125,10,68,15,14,18,0,8663
Dawn Addis,0.38636363636363635,0.1590909090909091,0.2803030303030303,0.1295353468713101,0.20849740566869523,132,14,68,12,15,23,0,4536
Juan Alanis,0.5778894472361809,0.37185929648241206,0.23618090452261306,0.2702382636319718,0.21021604335901728,199,37,71,51,15,25,0,4536
Damon Connolly,0.22608695652173913,0.043478260869565216,0.16521739130434782,0.0582200279844277,0.12551203415395099,115,10,52,13,18,22,0,4536
Liz Ortega,0.29133858267716534,0.10236220472440945,0.1968503937007874,0.08559385965680613,0.14982129498884267,127,13,63,12,20,19,0,4536
Gail Pellerin,0.3652173913043478,0.14782608695652175,0.25217391304347825,0.1131609574676913,0.18221613928062555,115,5,63,12,15,20,0,4536
Pilar Schiavo,0.3248407643312102,0.18471337579617833,0.21656050955414013,0.12647454498874558,0.1557717884922735,157,11,69,19,26,32,0,4536
Rick Zbur,0.25316455696202533,0.12658227848101267,0.12658227848101267,0.08545758477881682,0.11607023416461201,79,6,47,5,8,13,0,4536
Catherine Blakespear,0.25,0.05172413793103448,0.1810344827586207,0.05839807499069748,0.13596984188594816,116,10,68,13,8,17,0,4536
Lola Smallwood-Cuevas,0.07692307692307693,0.01282051282051282,0.02564102564102564,0.008852349096251533,0.027192583000734377,78,7,39,7,13,12,0,4536
