people_name_sponsors,bipartisan_rate1,bipartisan_rate2,weighted_bipartisan_rate2,bipartisan_rate3,weighted_bipartisan_rate3,bills_sponsored,introduced_num,passed_num,failed_num,vetoed_num,engrossed_num,enrolled_num,total_bills
Mike Gipson,0.3273226878899564,0.1733855195607724,0.22868482837795062,0.1297399976318123,0.16176392609573406,647,85,284,123,62,93,0,22226
Benjamin Allen,0.2797040461474163,0.14143632604262946,0.18775124345098568,0.10240786018206714,0.14006303775584755,574,65,253,110,50,95,1,22226
Ash Kalra,0.15906445874604563,0.04318522983379004,0.11151992540084521,0.043223761344986004,0.08113623940992577,585,84,277,73,66,85,0,17849
Cottie Petrie-Norris,0.3633992265205902,0.1897853217705033,0.25001451024423244,0.13965764197309122,0.17678399420195554,300,56,142,45,15,41,1,13366
Robert Rivas,0.4618737075384474,0.060349825420015345,0.3838690211522581,0.1294079498456854,0.2561829612413534,340,39,152,52,29,67,1,17849
Lisa Calderon,0.2278270509977827,0.07594235033259424,0.13240418118466898,0.06038852926566131,0.09277702307264582,159,18,76,19,21,25,0,8787
David Alvarez,0.33854166666666663,0.234375,0.2708333333333333,0.12270570581691904,0.22674725739670204,99,19,43,16,7,14,0,8787
Dawn Addis,0.3851851851851852,0.15555555555555556,0.2740740740740741,0.12715061076799702,0.20564950510587712,135,17,68,12,15,23,0,4654
Damon Connolly,0.225,0.041666666666666664,0.15833333333333333,0.056349749040632106,0.12229091307275002,120,15,52,13,18,22,0,4654
Pilar Schiavo,0.33532934131736525,0.18562874251497005,0.2215568862275449,0.12967085613771118,0.15761481593682625,167,21,69,19,26,32,0,4654
Anamarie Farias,1,0.3333333333333333,0.3333333333333333,0.2722222222222222,0.3190671031096563,3,3,0,0,0,0,0,4654
Mark Gonzalez,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.12261904761904761,0.1582631907099992,7,7,0,0,0,0,0,4654
Heather Hadwick,0.8333333333333334,0.16666666666666666,0.5,0.21939775910364145,0.30658366456238795,6,6,0,0,0,0,0,4654
John Harabedian,0.6,0,0.2,0.07166666666666667,0.25910256410256405,5,5,0,0,0,0,0,4654
Maggy Krell,0.2,0,0,0.013333333333333332,0.04820512820512819,5,5,0,0,0,0,0,4654
Chris Rogers,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2967320261437908,0.1922973008079391,3,3,0,0,0,0,0,4654
Joe Patterson,0.4,0.26956521739130435,0.13043478260869565,0.19864884050306048,0.12201077009125114,115,34,25,39,8,9,0,4654
Josh Lowenthal,0.1956521739130435,0.09782608695652174,0.11956521739130435,0.09059563624781014,0.09947511142407252,92,21,39,7,10,15,0,4654
Gail Pellerin,0.375,0.14166666666666666,0.25833333333333336,0.11254313979542636,0.18943683433196704,120,10,63,12,15,20,0,4654
Diane Dixon,0.5838926174496645,0.37583892617449666,0.18791946308724833,0.29223141231888916,0.1809056183758205,149,28,52,48,7,14,0,4654
Joaquin Arambula,0.3695678246484698,0.2048548387096774,0.2729501654259719,0.15730784825335734,0.19270433803845924,381,62,152,54,36,77,0,22226
Marc Berman,0.24413341861243348,0.09946634713991169,0.16792218012241328,0.08637684422927594,0.12061226157346533,447,50,263,39,27,68,0,17849
Chris Ward,0.17419354838709677,0.052258064516129035,0.10193548387096775,0.04979073217015314,0.07790994140595396,168,18,100,18,11,20,1,8787
Akilah Weber Pierson,0.14285714285714285,0,0.14285714285714285,0.02857142857142857,0.1032967032967033,7,7,0,0,0,0,0,4654
Isaac Bryan,0.1482115677321157,0.06887366818873668,0.08266742770167428,0.04902239675878166,0.07784037675985439,218,28,107,20,19,44,0,8787
Mia Bonta,0.1635988575055538,0.04723368242885856,0.10901301174230403,0.03869679937060309,0.08093555947401705,206,35,90,19,28,34,0,8787
Lori Wilson,0.2062841530054645,0.045081967213114756,0.15710382513661203,0.05754128673179705,0.11978991691499466,134,23,58,16,16,21,0,8787
Tina McKinnor,0.16820276497695852,0.1117511520737327,0.12788018433179724,0.06055120850000746,0.10943407520986304,131,16,68,15,14,18,0,8787
Corey Jackson,0.19727891156462585,0.10204081632653061,0.1564625850340136,0.08398628645227281,0.101956295081483,147,25,58,21,21,22,0,4654
Lola Smallwood-Cuevas,0.07317073170731707,0.012195121951219513,0.024390243902439025,0.008420527189117313,0.025866115537283917,82,11,39,7,13,12,0,4654
LaShae Sharp-Collins,0.2,0,0.2,0.025,0.09038461538461537,5,5,0,0,0,0,0,4654
Laura Richardson,0,0,0,0,0,6,6,0,0,0,0,0,4654
Sade Elhawary,0,0,0,0,0,7,7,0,0,0,0,0,4654
Cecilia Aguiar-Curry,0.3695770912622535,0.19946822498249017,0.26744537951515496,0.15330560369841736,0.19034157841059118,463,50,244,37,51,78,3,17849
Sharon Quirk-Silva,0.342435270234865,0.17411843442541627,0.24817023968636018,0.13783850176548543,0.1770261334454328,624,93,264,93,55,117,2,26252
Bill Essayli,0.42105263157894735,0.23157894736842105,0.15789473684210525,0.18575737128368705,0.12420882053408541,95,29,15,42,2,7,0,4654
Alex Lee,0.15562571756601606,0.0568886337543054,0.07950631458094146,0.048485871003550285,0.0663385858196101,264,39,126,39,19,41,0,8787
Matt Haney,0.161437908496732,0.06797385620915032,0.11307189542483662,0.046737747082856045,0.08839656904616391,198,16,108,17,25,32,0,8787
James Gallagher,0.4710719404417913,0.28429467001409114,0.1822184092083965,0.2174494494914326,0.15492649007241813,537,90,139,235,21,51,1,22226
Tom Lackey,0.6158381401525694,0.3803501182154142,0.3186450795856631,0.2814683860425776,0.24773276181108533,783,144,225,272,52,90,0,22226
Phillip Chen,0.3602779274531243,0.23168768021130226,0.18132398550705636,0.17752445184550159,0.12909178541896904,412,107,117,127,19,42,0,17849
Heath Flora,0.4905858423096672,0.32020575321569505,0.22719974384402286,0.24715685145829452,0.17713424975746617,366,83,106,121,12,44,0,17849
Laurie Davies,0.5917596384691428,0.4030857223555995,0.24699901143906228,0.304632245130081,0.22866658448391142,243,53,89,59,19,23,0,8787
Juan Alanis,0.5817307692307693,0.3701923076923077,0.23557692307692307,0.2721866959779614,0.2071899261712309,208,46,71,51,15,25,0,4654
Josh Hoover,0.48598130841121495,0.3364485981308411,0.18691588785046728,0.23269143125520253,0.1602182432100244,107,24,29,36,4,14,0,4654
Kate Sanchez,0.43243243243243246,0.2972972972972973,0.20270270270270271,0.2196714913820177,0.15715200690004721,74,21,24,18,5,6,0,4654
Tri Ta,0.41935483870967744,0.23655913978494625,0.12903225806451613,0.19524730224445594,0.1108397103163747,93,28,21,32,5,7,0,4654
Greg Wallis,0.5340909090909091,0.38636363636363635,0.25,0.266183585242743,0.1916570179158713,88,28,26,17,6,11,0,4654
Leticia Castillo,0,0,0,0,0,2,2,0,0,0,0,0,4654
Carl DeMaio,0,0,0,0,0,9,8,0,1,0,0,0,4654
Jeff Gonzalez,0.75,0.25,0.5,0.292687908496732,0.21231376484036057,4,4,0,0,0,0,0,4654
Alexandra Macedo,0.5,0.25,0.25,0.2267156862745098,0.08972897669706181,4,4,0,0,0,0,0,4654
David Tangipa,0.5,0.25,0.25,0.261437908496732,0.09933299560959136,4,4,0,0,0,0,0,4654
Rhodesia Ransom,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.05555555555555556,0.13829787234042554,6,6,0,0,0,0,0,4654
Liz Ortega,0.2835820895522388,0.1044776119402985,0.19402985074626866,0.08726828050879913,0.14450127406702387,134,20,63,12,20,19,0,4654
Henry Stern,0.2589522031188802,0.11117798318138483,0.19074689110565718,0.08956199040207805,0.13967786260279344,498,64,216,46,50,122,0,17849
Steve Bennett,0.15934272300469485,0.0555868544600939,0.09042253521126761,0.04637148844895324,0.06988489192906641,146,16,74,21,11,24,0,8787
Gregg Hart,0.171875,0.0625,0.125,0.052979008838383836,0.09773517059919985,64,12,28,10,4,10,0,4654
Juan Carrillo,0.39473684210526316,0.17543859649122806,0.24561403508771928,0.15580330640366083,0.1933542078219424,114,20,53,11,13,17,0,4654
Blanca Pacheco,0.4583333333333333,0.19444444444444445,0.3194444444444444,0.16205386277840697,0.23078443949683136,72,14,33,6,10,9,0,4654
Diane Papan,0.21333333333333335,0.04,0.14666666666666667,0.061621468935452436,0.11365688337579695,75,17,28,12,6,12,0,4654
Esmeralda Soria,0.4307692307692308,0.26153846153846155,0.26153846153846155,0.19865526799915942,0.1875677360278304,65,15,19,7,8,16,0,4654
Marie Alvarado-Gil,0.6021505376344086,0.3978494623655914,0.2903225806451613,0.2822693652231919,0.21241306163386187,93,13,32,21,6,21,0,4654
Darshana Patel,1,0.6666666666666666,0.6666666666666666,0.5106209150326797,0.30046696802015954,3,3,0,0,0,0,0,4654
Michelle Rodriguez,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.15575396825396826,0.23055003507131167,6,6,0,0,0,0,0,4654
Jose Solache,0.4,0.2,0.2,0.14166666666666664,0.11310692853246045,5,5,0,0,0,0,0,4654
Suzette Valladares,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3247549019607843,0.14625548801080718,6,5,0,1,0,0,0,4654
James Ramos,0.39638447971781304,0.17063492063492064,0.26785714285714285,0.15879445699072123,0.19123061895186028,210,35,87,38,18,32,0,13366
Tim Grayson,0.3220647773279352,0.17259538706907127,0.2178812415654521,0.1359310089113725,0.16232411308062447,378,65,166,71,28,48,0,17849
Blanca Rubio,0.37901005818328654,0.17845802054463472,0.26119473046638403,0.14174026509803253,0.19460649302901617,454,91,180,74,34,74,1,17849
Bob Archuleta,0.39274167916090114,0.2314943532481264,0.23150451986288983,0.1655335388961801,0.17393281952089618,260,40,122,30,15,53,0,13366
Stephanie Nguyen,0.5368421052631579,0.3157894736842105,0.3684210526315789,0.23129786650684486,0.2691738067070593,95,13,43,13,10,16,0,4654
Rick Zbur,0.23809523809523808,0.11904761904761904,0.11904761904761904,0.08037082378007772,0.10916129165481367,84,11,47,5,8,13,0,4654
Nick Schultz,0.2,0,0,0.008333333333333333,0.030128205128205125,5,5,0,0,0,0,0,4654
Rebecca Bauer-Kahan,0.2661942171303873,0.09389470812875067,0.1691227495908347,0.07451747304368997,0.13183522555526234,323,47,173,36,26,40,1,13366
Catherine Stefani,0.2,0,0,0.008333333333333333,0.030128205128205125,5,5,0,0,0,0,0,4654
Melissa Hurtado,0.4074924454234799,0.20206350551178137,0.27829459553597485,0.15274655433078765,0.20598462122591893,216,28,84,33,18,53,0,13366
Angelique Ashby,0.25961538461538464,0.10576923076923077,0.18269230769230768,0.09625132389555466,0.1163072451848733,104,12,69,3,6,14,0,4654
Al Muratsuchi,0.14069824729417346,0.07663048660254274,0.09273572542662158,0.05819035680407904,0.06666630362100158,475,84,195,54,27,115,0,26252
Mike Fong,0.11566558441558442,0.012987012987012988,0.057224025974025976,0.01906151663635034,0.043404283229868584,93,12,51,6,11,13,0,8787
Lena Gonzalez,0.2042240587695133,0.049709213345576986,0.14172023262932354,0.047379866813502335,0.10524057591365592,275,46,130,28,26,45,0,13366
Celeste Rodriguez,0.25,0,0.25,0.03125,0.11298076923076922,4,4,0,0,0,0,0,4654
Patrick Ahrens,0.6666666666666666,0,0.3333333333333333,0.061507936507936505,0.22237484737484736,3,3,0,0,0,0,0,4654
Jesse Arreguin,0,0,0,0,0,5,5,0,0,0,0,0,4654
Shannon Grove,0.3586147231822804,0.1947208543463976,0.15304236065123988,0.14566921043638706,0.12512055442463346,427,124,79,173,18,33,0,30829
Steven Choi,0.5744386372435153,0.2332704219899342,0.2060152922957801,0.22408306721540408,0.1400753429838303,216,63,44,76,9,24,0,17849
Monique Limon,0.21302415124891275,0.07133891595791587,0.148270576733001,0.06127401692194158,0.10640833267382807,415,57,215,36,33,74,0,17849
Sabrina Cervantes,0.2504872247260362,0.09790669508204358,0.18867766597957353,0.08506597999787038,0.12985738875345834,402,54,195,64,35,54,0,17849
Susan Rubio,0.3201863354037267,0.1545376121463078,0.24914308718656544,0.11426523312737209,0.18448507906746453,488,42,269,27,51,98,1,13366
Rosilicie Ochoa Bogh,0.6069639022394928,0.37452704775539425,0.2753349013191533,0.28237277952211814,0.231351976621663,281,47,99,61,18,56,0,8787
Robert Garcia,0.5,0.25,0.25,0.26838235294117646,0.10125379939209728,4,4,0,0,0,0,0,4654
Jerry McNerney,0.4,0.4,0.4,0.2647058823529412,0.17781155015197572,5,5,0,0,0,0,0,4654
Christopher Cabaldon,0,0,0,0,0,3,3,0,0,0,0,0,4654
Sasha Renee Perez,0,0,0,0,0,6,6,0,0,0,0,0,4654
Buffy Wicks,0.37973895710343697,0.03542780651812163,0.3249131390420084,0.10803365742031183,0.21398651781479844,433,61,187,77,41,67,0,17849
Tasha Boerner Horvath,0.3504273504273504,0.15384615384615385,0.23076923076923078,0.11942046992997955,0.17449866893380103,117,20,51,12,13,21,0,4654
Avelino Valencia,0.40476190476190477,0.19047619047619047,0.21428571428571427,0.17477198727198728,0.18474710792632235,42,4,27,3,5,3,0,4654
Scott Wiener,0.27059011809582556,0.11767893462409418,0.17969652795028032,0.08962789784911855,0.13784619664562303,800,64,409,90,70,167,0,17849
John Laird,0.2045759677780264,0.09923920340120833,0.11451107630342358,0.081005680387037,0.09692864942243959,191,9,132,13,8,29,0,8787
Brian Jones,0.4009930858286396,0.23441374647139943,0.16898793343081003,0.17015948203742887,0.13462035282470333,474,111,143,151,19,50,0,26146
Megan Dahle,0.43939043209876544,0.2855066872427984,0.14261831275720163,0.20883432161583299,0.1302851632268073,190,48,51,56,9,26,0,13366
Kelly Seyarto,0.5354516806722689,0.3285189075630252,0.15126050420168066,0.23904174494612368,0.13476806510359438,231,46,66,76,13,28,2,8787
Roger Niello,0.6656398408419972,0.3785136696187909,0.31773841612116543,0.3368759755223987,0.26848477414476324,206,62,66,48,8,22,0,9384
Steve Padilla,0.14102564102564102,0.038461538461538464,0.1282051282051282,0.029301226416611027,0.07923947620063694,78,15,32,7,10,14,0,4654
Maria Durazo,0.12878422865030792,0.027275437733856826,0.05839965539706346,0.0239890431609852,0.051742035934700135,282,42,132,24,32,52,0,13366
Caroline Menjivar,0.1827956989247312,0.021505376344086023,0.0967741935483871,0.04169293749090017,0.07621693732504588,93,11,47,3,15,17,0,4654
Catherine Blakespear,0.2459016393442623,0.04918032786885246,0.18032786885245902,0.05757521884361394,0.13669137551324703,122,16,68,13,8,17,0,4654
Tom Umberg,0.31910757553280916,0.16602847005884389,0.21065278395885872,0.11899676853562022,0.15877368128132738,266,41,138,25,20,41,1,13366
Dave Cortese,0.26186790505675955,0.10165118679050567,0.173890608875129,0.08024011237512002,0.12749136530838315,216,20,109,25,14,48,0,8787
Josh Becker,0.17995514437902999,0.0832632464255677,0.13425848051583963,0.05306033392317815,0.1028649528449674,268,17,141,28,27,55,0,8787
