"username","date","content"
"Senator_Hurtado","2024-09-03 19:46:34+00:00","My 2024 #CaLeg work for the #CentralValley spanned issues from empowering #NursingStudents, to ensuring #WaterSecurity, to Govt. #Transparency &amp; #Accountability, combatting #PricingAlgorithims, support for #CommunityFoodHubs, &amp; protection from #ExtremeHeat. https://t.co/4G7moiH1cQ"
"Senator_Hurtado","2025-05-12 16:28:13+00:00","#SB647 expands eligibility &amp; simplifies access to low-income energy efficiency programs, cutting administrative costs. Clean energy should be affordable energy, reaching the homes that need it most.  https://t.co/MsaxRE9mH0"
"Senator_Hurtado","2025-05-11 19:11:47+00:00","Wishing a Happy #mothersday across the #centralvalley to the Moms with us today who nurture our families, lift us up when we need it, &amp; support our dreams; as well as the Moms who have passed on, whose legacies &amp; cherished memories stay with us for life. https://t.co/Unxc4TGtvr"
"Senator_Hurtado","2025-05-09 22:23:46+00:00","Great meeting w. @CountyofTulare  Supervisors this week on a range of issues. I appreciate their ongoing support for #SenateBill496, which protects emergency vehicle fleets from unreasonable CARB mandates. https://t.co/uTiDGICBuZ"
"Senator_Hurtado","2025-04-30 01:05:52+00:00","Amanda was only a teenager when her life was tragically taken in a crime that resonates to this day. This crime cannot be forgiven, its cruelty ignored, or horrific nature ever forgotten, &amp; it's why I requested the Governor reverse this parole decision https://t.co/JxSnwHm986 https://t.co/9uaDBBLMCN"
"Senator_Hurtado","2025-04-24 14:08:45+00:00","Please join @CaltransDist6 for a #CentralValley community meeting tonight in Stratford https://t.co/8jztPd03Vk"
"Senator_Hurtado","2025-04-23 23:41:52+00:00","Public safety is the foundation of a free society—&amp; freedom must be protected with real investments. That’s why I’ve secured $84.5M for fire &amp; public safety in our Valley—&amp; why I’m fighting for #SB345 to make training affordable for all firefighters #CaLeg https://t.co/KwfN10UzCz"
"Senator_Hurtado","2025-04-11 23:36:29+00:00","SB 556 – the Flood Protection and Groundwater Recharge Act invests in floodplain restoration to protect homes and recharge groundwater bringing real water security to Kern, Kings, and Tulare counties.  https://t.co/6geVTA6gD1"
"Senator_Hurtado","2025-04-11 23:32:25+00:00","Thank you to everyone who joined my Kern County Town Hall with Senate Pro Tem Mike McGuire. Your voices have given me the opportunity to deliver real results for our region. Watch the full event on my website: https://t.co/K0MuJdVS4D   #ValleyStrong #SD16 #KernCountyTownHall https://t.co/bYksCX7QJi"
"Senator_Hurtado","2025-04-11 00:51:04+00:00","Please join us for tonight's Kern County Town Hall by watching the livestream: https://t.co/JSpjGN9OSt https://t.co/T12QuTtGp6"
"Senator_Hurtado","2025-04-09 17:48:27+00:00","Stepping into a firefighter’s boots, even for an hour, gave me deeper respect for their courage. Proud to keep pushing #SB345 to ensure these local heroes get the training and support they need. #FirefighterTraining #PublicSafety #ValleyStrong #SD16 https://t.co/gxj26URwIv"
"Senator_Hurtado","2025-04-01 20:36:53+00:00","🚒🔥 #SB345 the State Fire Training Accessibility Act passes the Senate Governmental Organizations Committee (13-0)  Join me Friday, April 4 in Hanford as we unveil and highlight this critical legislation!  📍 Station 3, 1070 S 12th Ave | 12:30 PM  #SD16 #FireTraining #Workforce https://t.co/SxBRQ3SwrG"
"Senator_Hurtado","2025-03-28 21:25:48+00:00","Proud to announce that #SB224, The Artificial Water Shortages Act, passed out of the Senate Natural Resource &amp; Water Committee with a unanimous vote! This bill modernizes California's water forecasting to prevent waste &amp; better manage resources for all. #CV #WaterSecurity #SD16"
"Senator_Hurtado","2025-03-21 18:22:48+00:00","TODAY is a special day! 💙 I’m deeply honored to celebrate our Community Swearing-In Ceremony with the people who make this journey so meaningful. I’d love for you to be part of this moment—hope to see you there! 🎉 #SD16 #CentralValley #OathofOffice #COS https://t.co/zMyutagBoC"
"Senator_Hurtado","2025-03-17 19:24:11+00:00","Congratulations to Yarezly Navarro from Mission Oak High School for representing Tulare County and the Central Valley at the CA Poetry Out Loud contest! Your powerful words and performance showcase the incredible talent in our community. 💐✨  #PoetryOutLoud #TulareCounty #SD16 https://t.co/oRh8NgYcmj"
"Senator_Hurtado","2025-03-12 22:45:41+00:00","📢You're Invited 📢  Join us for a Community Swearing-In Ceremony as we celebrate our work to elevate the Central Valley &amp; SD16!  📅 March 21, 2025 | ⏰ 3-5 PM  📍 COS Tulare Campus  I’m excited to share this moment with you so I hope to see you there! 🎉 #ForTheValley #SD16 #COS https://t.co/3dufRHW84x"
"Senator_Hurtado","2025-03-11 00:25:37+00:00","SD16’s 2025 Woman of the Year! Recognizing DeeDee Gruber, a fearless advocate for water access &amp; family farms. She is a true champion for Tulare County’s family farmers &amp; beyond. Thank you, DeeDee for your leadership, resilience &amp; dedication to CA’s farmers! #WoY #SD16 #WomenInAg https://t.co/BdHgxQVwR7"
"Senator_Hurtado","2025-03-05 01:10:53+00:00","The Senate Agriculture &amp; Health Committees are holding a joint hearing on CA's response to the avian flu outbreak — featuring state &amp; federal experts on biosecurity, public health impacts, &amp; the ag industry.  📅March 5 🕜1:30pm  📍 1021 O St, Sacramento #AvianFlu #CaliforniaAg https://t.co/P27l9ToFxv"
"Senator_Hurtado","2025-02-24 20:09:48+00:00","Congress is voting on MediCal cuts hurting 527K people in CA22/SD16—families already facing Valley Fever, severe flu season, and a doctor shortage. Our health should come first!  I’ve urged @RepDavidValadao to vote NO unless these cuts are removed.   #ValleyValues #ProtectMediCal https://t.co/efNmngy7T9"
"Senator_Hurtado","2025-01-29 19:49:19+00:00","Please call law enforcement if you have any additional information or believe you have seen the suspect: https://t.co/r9TshePYTW"
"Senator_Hurtado","2025-01-28 01:53:11+00:00","Artificial water shortages make CA unaffordable. Our farmers &amp; families deserve reliable water access, &amp; #SB224 will fight to make that a reality for the #CentralValley &amp; all Californians #TransparencyinWater. More to come soon on this pivotal water management policy! https://t.co/J0fIRvyd5h"
"Senator_Hurtado","2024-09-03 19:46:34+00:00","My 2024 #CaLeg work for the #CentralValley spanned issues from empowering #NursingStudents, to ensuring #WaterSecurity, to Govt. #Transparency &amp; #Accountability, combatting #PricingAlgorithims, support for #CommunityFoodHubs, &amp; protection from #ExtremeHeat. https://t.co/4G7moiH1cQ"
"Senator_Hurtado","2025-01-26 00:15:45+00:00","I voted NO on SBX1-1, a $25 million allocation to the California Department of Justice for lawsuits targeting federal actions, but voted AYE on SBX1-2, to provide legal services to undocumented Californian residents facing deportation proceedings.  https://t.co/Py2YEiY9C1 https://t.co/bA1UFdEPhw"
"Senator_Hurtado","2025-01-14 17:54:11+00:00","Today's @FTC meeting is viewable online. The #FTC's work, &amp; their Chair @linakhanFTC, are vital to every consumer who values competition &amp; freedom in our #HousingMarkets &amp; oversight of pharmacy mergers"
"FTC","2025-01-14 14:25:12+00:00","Watch today's Open Commission Meeting Live at 11am ET: https://t.co/V4OJLuK4jM  Agenda: https://t.co/ZFRkNrDFwt"
"Senator_Hurtado","2025-01-10 18:32:12+00:00","Guidance for Preparing for ICE Visits https://t.co/hAl0qe5JFi"
"Senator_Hurtado","2024-12-10 21:00:19+00:00","Looking forward to a great community turnout at tomorrow's annual holiday open house at our Bakersfield district office https://t.co/fxlyFefA82 https://t.co/CvaBIvB82c"
"Senator_Hurtado","2024-12-09 19:05:37+00:00","AI #PricingSoftware undermines consumer confidence in free &amp; fair markets, &amp; it's why I introduced #CaLeg legislation to tackle this issue.  https://t.co/e4UNLT9OQZ"
